fiscal_year	Customer	SubCustomer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
1987	Defense	Army	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	-171000.0000
1988	Defense	Army	M	Medium Vendor	PDuns	NULL	1	1	1	1	NULL	73000.0000
1988	Defense	Army	N	Sometimes Small Vendor	PDuns	NULL	1	1	1	1	NULL	-35000.0000
1988	Defense	Army	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	-39000.0000
1988	Defense	Navy	B	Big Five	PID	NULL	1	1	2	2	NULL	694000.0000
1988	Defense	Navy	L	Large Vendor	PID	NULL	1	1	8	8	NULL	2358000.0000
1988	Defense	Navy	M	Medium Vendor	PDuns	NULL	0	0	3	3	NULL	-138330.0000
1988	Defense	Navy	M	Medium Vendor	PDuns	NULL	1	1	8	8	NULL	302000.0000
1988	Defense	Navy	M	Medium Vendor	PID	NULL	1	1	2	2	NULL	-65000.0000
1988	Defense	Navy	N	Sometimes Small Vendor	PDuns	NULL	1	1	1	4	NULL	556000.0000
1988	Defense	Navy	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	1486000.0000
1988	Defense	Navy	S	Always Small Vendor	PDuns	NULL	1	1	5	5	NULL	2159000.0000
1988	Defense	Other DoD	L	Large Vendor	PID	NULL	1	1	2	2	NULL	102000.0000
1988	Defense	Other DoD	M	Medium Vendor	PDuns	NULL	1	1	1	1	NULL	200000.0000
1989	Defense	Army	L	Large Vendor	PID	NULL	1	1	6	6	NULL	70078000.0000
1989	Defense	Army	M	Medium Vendor	PDuns	NULL	0	0	2	2	NULL	44000.0000
1989	Defense	Army	M	Medium Vendor	PDuns	NULL	1	1	10	11	NULL	7231000.0000
1989	Defense	Army	M	Medium Vendor	PID	NULL	1	1	3	3	NULL	176388000.0000
1989	Defense	Army	N	Sometimes Small Vendor	PDuns	NULL	1	1	2	2	NULL	27000.0000
1989	Defense	Army	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	-90000.0000
1989	Defense	Army	S	Always Small Vendor	PDuns	NULL	1	1	10	30	NULL	68904000.0000
1989	Defense	Navy	B	Big Five	PID	NULL	1	1	5	5	NULL	78469000.0000
1989	Defense	Navy	L	Large Vendor	PID	NULL	1	1	30	30	NULL	164373000.0000
1989	Defense	Navy	M	Medium Vendor	PDuns	NULL	0	0	9	9	NULL	-971000.0000
1989	Defense	Navy	M	Medium Vendor	PDuns	NULL	0	1	1	1	NULL	44000.0000
1989	Defense	Navy	M	Medium Vendor	PDuns	NULL	1	1	298	355	NULL	278442000.0000
1989	Defense	Navy	M	Medium Vendor	PID	NULL	0	0	1	1	NULL	-595000.0000
1989	Defense	Navy	M	Medium Vendor	PID	NULL	1	1	34	34	NULL	120686975.0000
1989	Defense	Navy	N	Sometimes Small Vendor	PDuns	NULL	1	1	21	30	NULL	63745000.0000
1989	Defense	Navy	N	Sometimes Small Vendor	PID	NULL	1	1	1	1	NULL	1097000.0000
1989	Defense	Navy	S	Always Small Vendor	PDuns	NULL	0	0	7	7	NULL	-1636029.0000
1989	Defense	Navy	S	Always Small Vendor	PDuns	NULL	1	1	248	885	NULL	521121000.0000
1989	Defense	Navy	S	Always Small Vendor	PID	NULL	1	1	12	12	NULL	3148000.0000
1989	Defense	Other DoD	B	Big Five	PID	NULL	1	1	1	1	NULL	1340000.0000
1989	Defense	Other DoD	L	Large Vendor	PID	NULL	1	1	9	9	NULL	16139000.0000
1989	Defense	Other DoD	M	Medium Vendor	PDuns	NULL	1	1	18	18	NULL	51736000.0000
1989	Defense	Other DoD	M	Medium Vendor	PID	NULL	1	1	2	2	NULL	691000.0000
1989	Defense	Other DoD	N	Sometimes Small Vendor	PDuns	NULL	1	1	1	1	NULL	70000.0000
1989	Defense	Other DoD	S	Always Small Vendor	PDuns	NULL	1	1	17	36	NULL	15997000.0000
1989	Defense	Other DoD	S	Always Small Vendor	PID	NULL	1	1	1	1	NULL	205000.0000
1990	Defense	Air Force	NULL	NULL	PID	NULL	NULL	NULL	4	4	NULL	9303000.0000
1990	Defense	Air Force	B	Big Five	PID	NULL	1	1	5	5	NULL	7540391000.0000
1990	Defense	Air Force	L	Large Vendor	PID	NULL	1	1	72	72	NULL	17701093000.0000
1990	Defense	Air Force	M	Medium Vendor	PDuns	NULL	0	0	27	28	NULL	-2438000.0000
1990	Defense	Air Force	M	Medium Vendor	PDuns	NULL	0	1	1	1	NULL	-1237000.0000
1990	Defense	Air Force	M	Medium Vendor	PDuns	NULL	1	1	1253	1829	NULL	2449529000.0000
1990	Defense	Air Force	M	Medium Vendor	PID	NULL	0	0	1	1	NULL	-1137000.0000
1990	Defense	Air Force	M	Medium Vendor	PID	NULL	1	1	89	89	NULL	3754787000.0000
1990	Defense	Air Force	N	Sometimes Small Vendor	PDuns	NULL	0	0	4	4	NULL	-1041000.0000
1990	Defense	Air Force	N	Sometimes Small Vendor	PDuns	NULL	0	1	1	1	NULL	130000.0000
1990	Defense	Air Force	N	Sometimes Small Vendor	PDuns	NULL	1	1	1055	6727	NULL	7162539000.0000
1990	Defense	Air Force	N	Sometimes Small Vendor	PID	NULL	1	1	73	73	NULL	1528485000.0000
1990	Defense	Air Force	S	Always Small Vendor	PDuns	NULL	0	0	26	26	NULL	-4546000.0000
1990	Defense	Air Force	S	Always Small Vendor	PDuns	NULL	0	1	1	1	NULL	62000.0000
1990	Defense	Air Force	S	Always Small Vendor	PDuns	NULL	1	1	1029	1071	NULL	826552000.0000
1990	Defense	Air Force	S	Always Small Vendor	PID	NULL	1	1	18	18	NULL	69844000.0000
1990	Defense	Army	NULL	NULL	PID	NULL	NULL	NULL	3	3	NULL	15790000.0000
1990	Defense	Army	B	Big Five	PID	NULL	1	1	5	5	NULL	2503032000.0000
