fiscal_year,Customer,PrimeObligatedAmount,SubawardAmount,NumberOfActions,NumberOfContracts,IsInFSRS
2014,Defense,46876773076,5.46087E+11,25127,9315,1
2006,Defense,2.99485E+11,NULL,3319756,1064673,0
1999,Defense,1.23322E+11,NULL,289362,92574,0
1987,Defense,-171000,NULL,NULL,2,0
1994,Defense,1.17964E+11,NULL,237482,88584,0
2013,Defense,2.60722E+11,NULL,10716625,968963,0
2001,Defense,1.04505E+11,NULL,232180,165334,0
2011,Defense,16766329996,3.33938E+11,10683,4842,1
2015,Defense,2.27229E+11,NULL,12841447,2254088,0
1989,Defense,1636683946,NULL,NULL,2006,0
2003,Defense,2.12043E+11,NULL,633951,454117,0
2008,Defense,3.94404E+11,NULL,3594240,1182807,0
1996,Defense,1.19667E+11,NULL,282646,96004,0
1998,Defense,1.18133E+11,NULL,277265,92112,0
1991,Defense,1.36154E+11,NULL,6,104038,0
2013,Defense,46608090553,4.77664E+11,23972,8071,1
2010,Defense,3.54046E+11,NULL,3555267,1105462,0
2012,Defense,2.98623E+11,NULL,14158109,1021999,0
2000,Defense,99507479126,NULL,224387,151829,0
2005,Defense,2.70089E+11,NULL,3402952,1087464,0
1993,Defense,1.21373E+11,NULL,2500,91540,0
1995,Defense,1.1804E+11,NULL,258357,88509,0
2015,Defense,45305616993,1.94525E+11,20118,7137,1
2014,Defense,2.37317E+11,NULL,12961416,1003819,0
1988,Defense,7652670,NULL,NULL,45,0
2007,Defense,3.31625E+11,NULL,3478165,1094531,0
2009,Defense,3.65782E+11,NULL,3499357,1099645,0
2002,Defense,1.1555E+11,NULL,327384,237477,0
2010,Defense,2112111782,8830551839,646,486,1
1990,Defense,1.2035E+11,NULL,3,98811,0
1992,Defense,1.23407E+11,NULL,28,96456,0
2012,Defense,31341225395,3.03087E+11,17012,6657,1
1997,Defense,1.17204E+11,NULL,275702,96012,0
2011,Defense,3.32875E+11,NULL,13807342,1069217,0
2016,Defense,6371569.874,NULL,111994,59,0
2004,Defense,2.30659E+11,NULL,808984,544968,0
